"COUNTRY","Country","BIRTH","Place of birth","HATLEV1D","Educational attainment","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ITA","Italy","FB","Foreign-born","L","Low","2016","2016","PC","Percentage","0","Units",,,59.9,,
"ITA","Italy","FB","Foreign-born","L","Low","2017","2017","PC","Percentage","0","Units",,,60.6,,
"ITA","Italy","FB","Foreign-born","L","Low","2018","2018","PC","Percentage","0","Units",,,61.8,,
"ITA","Italy","FB","Foreign-born","L","Low","2019","2019","PC","Percentage","0","Units",,,62.4,,
"ITA","Italy","FB","Foreign-born","M","Medium","2015","2015","PC","Percentage","0","Units",,,66.9,,
"ITA","Italy","FB","Foreign-born","M","Medium","2016","2016","PC","Percentage","0","Units",,,67.5,,
"ITA","Italy","FB","Foreign-born","M","Medium","2017","2017","PC","Percentage","0","Units",,,67.4,,
"ITA","Italy","FB","Foreign-born","M","Medium","2018","2018","PC","Percentage","0","Units",,,66.8,,
"ITA","Italy","FB","Foreign-born","M","Medium","2019","2019","PC","Percentage","0","Units",,,67.1,,
"ITA","Italy","FB","Foreign-born","H","High","2015","2015","PC","Percentage","0","Units",,,69.2,,
"ITA","Italy","FB","Foreign-born","H","High","2016","2016","PC","Percentage","0","Units",,,68,,
"ITA","Italy","FB","Foreign-born","H","High","2017","2017","PC","Percentage","0","Units",,,70,,
"ITA","Italy","FB","Foreign-born","H","High","2018","2018","PC","Percentage","0","Units",,,72.1,,
"ITA","Italy","FB","Foreign-born","H","High","2019","2019","PC","Percentage","0","Units",,,70.2,,
"LUX","Luxembourg","FB","Foreign-born","T","Total","2015","2015","PC","Percentage","0","Units",,,74.2,,
"LUX","Luxembourg","FB","Foreign-born","T","Total","2016","2016","PC","Percentage","0","Units",,,74.1,,
"LUX","Luxembourg","FB","Foreign-born","T","Total","2017","2017","PC","Percentage","0","Units",,,75.3,,
"LUX","Luxembourg","FB","Foreign-born","T","Total","2018","2018","PC","Percentage","0","Units",,,75.7,,
"LUX","Luxembourg","FB","Foreign-born","T","Total","2019","2019","PC","Percentage","0","Units",,,76.6,,
"LUX","Luxembourg","FB","Foreign-born","L","Low","2015","2015","PC","Percentage","0","Units",,,66.2,,
"LUX","Luxembourg","FB","Foreign-born","L","Low","2016","2016","PC","Percentage","0","Units",,,64.4,,
"LUX","Luxembourg","FB","Foreign-born","L","Low","2017","2017","PC","Percentage","0","Units",,,63.8,,
"LUX","Luxembourg","FB","Foreign-born","L","Low","2018","2018","PC","Percentage","0","Units",,,64,,
"LUX","Luxembourg","FB","Foreign-born","L","Low","2019","2019","PC","Percentage","0","Units",,,66.2,,
"LUX","Luxembourg","FB","Foreign-born","M","Medium","2015","2015","PC","Percentage","0","Units",,,69,,
"LUX","Luxembourg","FB","Foreign-born","M","Medium","2016","2016","PC","Percentage","0","Units",,,67.2,,
"LUX","Luxembourg","FB","Foreign-born","M","Medium","2017","2017","PC","Percentage","0","Units",,,73.3,,
